#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                  rnd.data_token|  3.67e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.63142116|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.23251199|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.39525852|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.96331892|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.08041771|  PASSED  
        diehard_opso|   0|   2097152|     100|0.03877202|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.03910323|  PASSED  
         diehard_dna|   0|   2097152|     100|0.49746969|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.30623710|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.98625240|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.64976124|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.38752422|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.87412821|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.33967159|  PASSED  
        diehard_sums|   0|       100|     100|0.34619888|  PASSED  
        diehard_runs|   0|    100000|     100|0.85184686|  PASSED  
        diehard_runs|   0|    100000|     100|0.78099965|  PASSED  
       diehard_craps|   0|    200000|     100|0.44553894|  PASSED  
       diehard_craps|   0|    200000|     100|0.66602123|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
         sts_monobit|   1|    100000|     100|0.34220181|  PASSED  
            sts_runs|   2|    100000|     100|0.95964903|  PASSED  
          sts_serial|   1|    100000|     100|0.52740758|  PASSED  
          sts_serial|   2|    100000|     100|0.30945799|  PASSED  
          sts_serial|   3|    100000|     100|0.91183427|  PASSED  
          sts_serial|   3|    100000|     100|0.13389353|  PASSED  
          sts_serial|   4|    100000|     100|0.87705215|  PASSED  
          sts_serial|   4|    100000|     100|0.99631133|   WEAK   
          sts_serial|   5|    100000|     100|0.37740084|  PASSED  
          sts_serial|   5|    100000|     100|0.97805557|  PASSED  
          sts_serial|   6|    100000|     100|0.95138460|  PASSED  
          sts_serial|   6|    100000|     100|0.84167351|  PASSED  
          sts_serial|   7|    100000|     100|0.75042846|  PASSED  
